"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","505-ADR1399KHZ-ND","ADR1399KHZ","IC VREF SHUNT 7.05V 0.05% TO46-4","","1","0","36.53000","36.53"
"2","1","1189-2058-1-ND","50THV47M8X10.5","CAP ALUM 47UF 20% 50V SMD","","1","0","1.12000","1.12"
"3","10","1276-1044-1-ND","CL10A475KP8NNNC","CAP CER 4.7UF 10V X5R 0603","","10","0","0.00900","0.09"
"4","10","399-C0603C104K5RACTUCT-ND","C0603C104K5RACTU","CAP CER 0.1UF 50V X7R 0603","","10","0","0.01600","0.16"
"5","1","587-2670-1-ND","TMK107B7474KA-TR","CAP CER 0.47UF 25V X7R 0603","","1","0","0.18000","0.18"
"6","10","1276-1274-1-ND","CL10A226MP8NUNE","CAP CER 22UF 10V X5R 0603","","10","0","0.03100","0.31"
"7","10","1276-1946-1-ND","CL10B105KP8NNNC","CAP CER 1UF 10V X7R 0603","","10","0","0.00700","0.07"
"8","1","445-6912-1-ND","CGA3E2C0G1H472J080AA","CAP CER 4700PF 50V C0G 0603","","1","0","0.33000","0.33"
"9","1","490-GRM1885C1H912JA01DCT-ND","GRM1885C1H912JA01D","CAP CER 9100PF 50V C0G/NP0 0603","","1","0","0.18000","0.18"
"10","2","P150KDBCT-ND","ERA-3AEB154V","RES SMD 150K OHM 0.1% 1/10W 0603","","2","0","0.16000","0.32"
"11","10","RMCF0603FT150RCT-ND","RMCF0603FT150R","RES 150 OHM 1% 1/10W 0603","","10","0","0.01100","0.11"
"12","10","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","10","0","0.01100","0.11"
"13","10","RMCF0603JT3K30CT-ND","RMCF0603JT3K30","RES 3.3K OHM 5% 1/10W 0603","","10","0","0.01100","0.11"
"14","1","505-LT3045EMSE#TRPBFCT-ND","LT3045EMSE#TRPBF","IC REG LIN POS ADJ 500MA 12MSOP","","1","0","12.46000","12.46"
"15","1","13-RT0603BRD075R1LCT-ND","RT0603BRD075R1L","RES 5.1 OHM 0.1% 1/10W 0603","","1","0","0.17000","0.17"
"16","1","541-3645-1-ND","TNPW06032K67BEEA","RES 2.67K OHM 0.1% 0.21W 0603","","1","0","0.37000","0.37"
"17","2","541-5285-1-ND","CRCW060324K0FKEAC","RES 24K OHM 1% 1/10W 0603","","2","0","0.16000","0.32"
"18","1","RNCF0603TKY10K0CT-ND","RNCF0603TKY10K0","RES SMD 10K OHM 0.01% 1/10W 0603","","1","0","2.38000","2.38"
"19","1","RNCF0603TKY2K00CT-ND","RNCF0603TKY2K00","RES SMD 2K OHM 0.01% 1/10W 0603","","1","0","2.43000","2.43"
"20","2","PNM0603-5.0KBCT-ND","PNM0603E5001BST5","RES SMD 5K OHM 0.1% 0.15W 0603","","2","0","2.11000","4.22"
"21","1","541-3191-1-ND","TNPW060359K0BEEA","RES 59K OHM 0.1% 0.21W 0603","","1","0","0.37000","0.37"
"22","1","EG1903-ND","EG1218","SWITCH SLIDE SPDT 200MA 30V","","1","0","1.25000","1.25"
"23","1","505-LTC2057IMS8#PBF-ND","LTC2057IMS8#PBF","IC OPAMP ZERO-DRIFT 1 CIRC 8MSOP","","1","0","5.66000","5.66"

