"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","1","505-ADR1399KHZ-ND","ADR1399KHZ","IC VREF SHUNT 7.05V 0.05% TO46-4","","1","0","35.44000","35.44"
"2","1","1189-2058-1-ND","50THV47M8X10.5","CAP ALUM 47UF 20% 50V SMD","","1","0","1.08000","1.08"
"3","10","490-7203-1-ND","GRM188R61E475KE11D","CAP CER 4.7UF 25V X5R 0603","","10","0","0.05200","0.52"
"4","10","1276-1184-1-ND","CL10B105KA8NNNC","CAP CER 1UF 25V X7R 0603","","10","0","0.01000","0.10"
"5","1","490-GRM188C61E226ME01JCT-ND","GRM188C61E226ME01J","CAP CER 22UF 25V X5S 0603","","1","0","0.59000","0.59"
"6","1","RG16N75.0KWCT-ND","RG1608N-753-W-T1","RES SMD 75K OHM 0.05% 1/10W 0603","","1","0","0.88000","0.88"
"7","2","P3.0KBECT-ND","ERA-3ARW302V","RES SMD 3K OHM 0.05% 1/10W 0603","","2","0","0.68000","1.36"
"8","1","587-2670-1-ND","TMK107B7474KA-TR","CAP CER 0.47UF 25V X7R 0603","","1","0","0.17000","0.17"
"9","1","P150KDBCT-ND","ERA-3AEB154V","RES SMD 150K OHM 0.1% 1/10W 0603","","1","0","0.15000","0.15"
"10","10","RMCF0603FT150RCT-ND","RMCF0603FT150R","RES 150 OHM 1% 1/10W 0603","","10","0","0.01100","0.11"
"11","10","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","10","0","0.01100","0.11"
"12","10","RMCF0603JT3K30CT-ND","RMCF0603JT3K30","RES 3.3K OHM 5% 1/10W 0603","","10","0","0.01100","0.11"
"13","1","13-RT0603BRD075R1LCT-ND","RT0603BRD075R1L","RES 5.1 OHM 0.1% 1/10W 0603","","1","0","0.17000","0.17"
"14","1","541-3645-1-ND","TNPW06032K67BEEA","RES 2.67K OHM 0.1% 0.21W 0603","","1","0","0.35000","0.35"
"15","1","RNCF0603TKY10K0CT-ND","RNCF0603TKY10K0","RES SMD 10K OHM 0.01% 1/10W 0603","","1","0","2.31000","2.31"
"16","1","PNM0603-5.0KBCT-ND","PNM0603E5001BST5","RES SMD 5K OHM 0.1% 0.15W 0603","","1","0","2.05000","2.05"
"17","1","505-LTC2057IMS8#PBF-ND","LTC2057IMS8#PBF","IC OPAMP ZERO-DRIFT 1 CIRC 8MSOP","","1","0","5.49000","5.49"
"18","10","399-C0603C104K5RACTUCT-ND","C0603C104K5RACTU","CAP CER 0.1UF 50V X7R 0603","","10","0","0.01600","0.16"
"19","1","445-6912-1-ND","CGA3E2C0G1H472J080AA","CAP CER 4700PF 50V C0G 0603","","1","0","0.32000","0.32"
"20","1","490-GRM1885C1H912JA01DCT-ND","GRM1885C1H912JA01D","CAP CER 9100PF 50V C0G/NP0 0603","","1","0","0.17000","0.17"
"21","2","P24KBECT-ND","ERA-3ARW243V","RES SMD 24K OHM 0.05% 1/10W 0603","","2","0","0.68000","1.36"
"22","1","505-LT3045IMSE-1#PBF-ND","LT3045IMSE-1#PBF","IC REG LIN POS ADJ 500MA 12MSOP","","1","0","13.75000","13.75"

